Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Year,Averafe Life Expectancy at Birth
China,CHN,71.881,72.606,72.985,73.371,73.748,74.111,74.504,74.762,74.872,75.343,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077,78.211,78.587,,,
Cote d'Ivoire,CIV,50.842,50.81,50.886,50.954,51.363,51.824,52.355,52.97,53.653,54.394,55.023,55.52,56.158,56.748,57.208,57.762,58.06,58.48,58.849,59.319,59.032,58.598,58.916,,,
Cameroon,CMR,52.932,53.142,53.415,53.883,54.178,54.362,54.856,55.165,55.655,56.102,56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81,61.18,61.584,60.833,60.333,60.958,,,
"Congo, Dem. Rep.",COD,51.781,52.116,52.333,52.827,53.426,53.927,54.534,54.923,55.339,55.836,56.417,57.069,57.248,57.762,58.296,58.49,59.066,59.411,59.942,60.276,59.739,59.193,59.743,,,
"Congo, Rep.",COG,53.682,54.395,55.088,55.948,56.986,58.126,58.878,59.643,60.426,61.088,61.683,61.992,62.317,62.695,62.95,63.233,63.577,63.76,64.053,62.747,63.785,63.519,63.053,,,
Colombia,COL,71.32,71.502,71.939,72.361,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659,,,
Comoros,COM,58.757,59.163,59.056,59.258,59.48,59.604,59.875,60.102,60.475,60.831,61.123,61.503,61.834,62.224,62.516,62.896,63.237,63.625,63.912,64.068,64.166,63.417,63.68,,,
Cabo Verde,CPV,68.618,69.929,70.705,71.429,71.999,72.68,72.239,72.835,72.508,73.088,73.499,74.257,74.484,75.059,75.24,74.62,75.742,76.593,75.733,76.004,74.808,74.052,74.722,,,
Costa Rica,CRI,77.586,77.545,77.983,78.072,78.331,78.505,78.514,78.462,78.445,78.672,78.67,79.348,79.283,79.403,78.774,79.086,79.459,79.377,79.484,79.427,79.277,77.023,77.32,,,
Caribbean small states,CSS,68.54381492,68.68740676,68.80962223,68.84182404,69.18380128,69.52682725,69.94287895,70.3427256,70.61514546,70.91364291,71.09376714,71.20297695,71.35580204,71.45310235,71.64077196,71.88319027,72.22208223,72.44465399,72.71124108,72.37374061,72.33122751,70.48179109,71.03467709,,,
Cuba,CUB,76.183,76.421,76.612,76.773,76.912,77.047,77.179,77.307,77.429,77.548,77.661,77.76,77.833,77.87,77.853,77.772,77.643,77.529,77.496,77.611,77.567,73.683,78.155,,,
Curacao,CUW,73.03395122,73.1107561,73.21153659,73.3535122,73.42892683,73.56570732,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,82.1902439,,,,,,,,,,,82.0097561,,,,
Cyprus,CYP,76.568,76.989,77.487,77.788,77.944,78.101,78.371,78.81,78.981,79.401,79.665,79.999,80.109,80.402,80.771,80.966,81.056,81.328,81.382,81.397,81.391,81.203,81.889,,,
Czechia,CZE,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829,78.17560976,77.22195122,79.02926829,,,
Germany,DEU,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.70560976,,,
Djibouti,DJI,56.573,56.903,57.215,57.595,57.759,58.316,58.715,59.024,59.365,59.673,60.259,60.433,60.848,61.221,61.641,61.957,62.191,62.797,63.038,63.085,62.694,62.305,62.859,,,
